samplen, psalmen
rusting, sturing
glas, slag
onderlangs, groenlands
onderom, noodrem, moorden
neersmeet, meesteren
bedelen, beleden
polen, lopen
noodgeld, geldnood
hok, kho
faas, asfa
sou, uso
tuinbouwkas, kastuinbouw
agent, tange, gaten
somp, mops
capteren, pacteren
krakken, knakker
moe, ome, emo
afperken, afpreken
vetkaars, kaarsvet
biezen, bezien
leutig, uitleg
armslag, slagarm
lies, leis
lycra, acryl
monster, stromen, stormen
wielspoor, spoorwiel
liter, treil
lijstgevel, gevellijst
ongerede, goederen
beitsen, bietsen, ebenist
bast, bats
neergang, gangreen
bankraad, badkraan, dankbaar
geelkruid, gildekeur
menigeen, ingemeen
veertig, vergiet
geel-rood, rood-geel
duur, urdu
tsjilpen, splijten
optakelen, kanteloep
gastles, gasstel
klompschoen, schoenklomp
kortdurend, onderdrukt
bloembed, bebloemd
vel, lev
neerkomen, omrekenen
log, glo
kabelsignaal, signaalkabel
lamme, lemma
wandkleed, wandeldek
leegdruk, gekleurd
schoolcultuur, cultuurschool
waterfontein, fonteinwater
ezelin, zeilen
koehoren, eekhoorn
tulpenbed, beeldpunt
timorees, toerisme
modelauto, automodel
carnavalvierders, carnavalsvierder
leegkomen, omkegelen
ingeroest, groetenis, reisgenot
vispan, panvis
mijl, lijm
eindtest, dentiste
bente, beten
productioneel, olieproducent
taalkunst, kunsttaal
aanpassingsbeleid, beleidsaanpassing
entwas, wasnet
huismoeder, moederhuis
doormeter, retromode
delgen, gelden
akoniet, taikoen
hazen, hanze
taxistop, taxipost
beignet, gebinte
bordreclame, reclamebord
gloeiend, ongeleid
tirade, triade
risten, ritsen, sinter
onderwerken, rekenwonder
bijspelen, spijbelen, bijslepen
informatiesysteem, systeeminformatie
opspuiten, uitsoppen
gebiedsontwikkeling, ontwikkelingsgebied
knapenkoor, ankerknoop
zeebrak, zeekrab
moederklooster, kloostermoeder
directeur-hoofdredacteur, hoofdredacteur-directeur
lastgever, regelvast
organisatiewerk, werkorganisatie
lasergame, meerlaags
peinzen, inzepen
kepel, pekel
pasta, tapas, spaat
kamermuziek, muziekkamer, muziekmaker
standvogel, vogelstand
merites, mieters
marktcommissie, commissiemarkt
droomervaring, moordervaring
bootmens, nestboom
spierbuik, buikspier
shock, schok
modelbrief, briefmodel
marcheren, charmeren
receptioniste, centerpositie
gebrand, bangerd
ugli, glui
keerkring, kerkering
kieren, reiken, inkeer, rieken, eikern
klanktaal, taalklank
graaflocatie, catalografie
olijkerd, ordelijk
ruiterkorps, rotskruiper
gezien, giezen
verbieden, verbeiden, bedierven
koste, koets, koest
raakheid, draaihek
prosector, topscorer
uiten, tuien
sater, aster, taser
gemeentegrens, grensgemeente
pronkkast, tankkorps
converseren, conserveren
moerloos, roemloos
kerkplein, prikkelen
dekstro, strodek
permissie, impressie
inname, aminen
priem, prime
structuurbouw, bouwstructuur
keuzeplaats, plaatskeuze
knalfeest, afkletsen
koolraap, raapkool, rookpaal
honingklaver, klaverhoning
tsaar, rasta, staar
sodawater, woestaard
biertent, bitteren
kieperen, piekeren
spinet, pitsen
gok, kog
controledossier, dossiercontrole
driehoeken, dierenhoek
